	Gene	Corrected fold-changes	category	gset	Library
966	RREB1	-0.2511108025240084	Exclusive	ADaM2021	Brunello
967	RIOK1	-1.7340292162739772	Common	ADaM2021	Brunello
968	SNRNP48	-0.5733433363031656	Common	ADaM2021	Brunello
969	PAK1IP1	-2.1572061495469024	Common	ADaM2021	Brunello
970	NOL7	-0.3795267398208037	Common	ADaM2021	Brunello
971	NUP153	-0.4303141271797533	Common	ADaM2021	Brunello
972	E2F3	-0.4238964648775331	Common	ADaM2021	Brunello
973	PRL	-0.2301646879365481	Exclusive	ADaM2021	Brunello
974	HIST1H2BA	-0.2372348196751273	Exclusive	ADaM2021	Brunello
975	SLC17A3	-0.4925859989376222	Common	ADaM2021	Brunello
976	HIST1H4B	-0.3959618099889151	Common	ADaM2021	Brunello
977	HIST1H2BB	-0.2471130309954291	Exclusive	ADaM2021	Brunello
978	HIST1H4C	-0.3194514204510499	Common	ADaM2021	Brunello
979	HIST1H2AC	-0.7422597602253436	Common	ADaM2021	Brunello
980	HIST1H3D	-0.626356077838084	Common	ADaM2021	Brunello
981	HIST1H2BF	-0.5611057003802726	Common	ADaM2021	Brunello
982	HIST1H4F	-0.2345484744330317	Exclusive	ADaM2021	Brunello
983	HIST1H2BI	-1.0207633319744966	Common	ADaM2021	Brunello
984	ABT1	-2.10341851853758	Common	ADaM2021	Brunello
985	ZNF322	-0.2613508770123768	Exclusive	ADaM2021	Brunello
986	HIST1H2BJ	-0.5225204457426209	Common	ADaM2021	Brunello
987	HIST1H2BK	-0.6504179675584785	Common	ADaM2021	Brunello
988	HIST1H2AH	-0.9880178581403196	Common	ADaM2021	Brunello
989	HIST1H2BL	-1.3336297992515638	Common	ADaM2021	Brunello
990	HIST1H2AI	-0.5592959640477795	Common	ADaM2021	Brunello
991	HIST1H2AJ	-0.2418512719583719	Exclusive	ADaM2021	Brunello
992	HIST1H4J	-0.9725848654331708	Common	ADaM2021	Brunello
993	HIST1H4K	-0.8544583237443498	Common	ADaM2021	Brunello
994	HIST1H2BN	-1.162886095129236	Common	ADaM2021	Brunello
995	HIST1H3I	-0.3799390035897462	Common	ADaM2021	Brunello
996	HIST1H2BO	-0.2519890478440036	Exclusive	ADaM2021	Brunello
997	ZNF165	-0.5037939160537217	Common	ADaM2021	Brunello
998	GABBR1	-0.3193948146559106	Common	ADaM2021	Brunello
999	ZNRD1	-1.7587865403538578	Common	ADaM2021	Brunello
1000	PPP1R11	-2.686332776413612	Common	ADaM2021	Brunello
1001	RPP21	-4.6961557138411925	Common	ADaM2021	Brunello
1002	ABCF1	-3.821319659751625	Common	ADaM2021	Brunello
1003	PPP1R10	-1.733750446464575	Common	ADaM2021	Brunello
1004	DHX16	-2.069891794769183	Common	ADaM2021	Brunello
1005	TUBB	-2.87034165918648	Common	ADaM2021	Brunello
1006	GTF2H4	-1.919517567129406	Common	ADaM2021	Brunello
1007	VARS2	-1.272063538895556	Common	ADaM2021	Brunello
1008	CSNK2B	-2.0093444134947043	Common	ADaM2021	Brunello
1009	VARS	-4.747240279530756	Common	ADaM2021	Brunello
1010	LSM2	-3.983874987401064	Common	ADaM2021	Brunello
1011	EHMT2	-0.2437236214979525	Exclusive	ADaM2021	Brunello
1012	SKIV2L	-0.5632147670544979	Common	ADaM2021	Brunello
1013	FKBPL	-1.2388511289035178	Common	ADaM2021	Brunello
1014	PPT2	-0.29420852956849	Exclusive	ADaM2021	Brunello
1015	HLA-DQB1	-0.4319335357982652	Common	ADaM2021	Brunello
1016	HLA-DOB	-0.3709066651620071	Common	ADaM2021	Brunello
1017	SLC39A7	-1.47905989433207	Common	ADaM2021	Brunello
1018	VPS52	-4.388013094398097	Common	ADaM2021	Brunello
1019	RPS18	-4.581249857629964	Common	ADaM2021	Brunello
1020	WDR46	-1.109950831689	Common	ADaM2021	Brunello
1021	PFDN6	-1.1611266056545806	Common	ADaM2021	Brunello
1022	LEMD2	-0.6991895246055039	Common	ADaM2021	Brunello
1023	HMGA1	-1.4029200017729897	Common	ADaM2021	Brunello
1024	RPS10-NUDT3	-2.9410861819243723	Common	ADaM2021	Brunello
1025	RPS10	-5.32598041620233	Common	ADaM2021	Brunello
1026	C6orf106	-0.433593341707727	Common	ADaM2021	Brunello
1027	SNRPC	-2.001424208563978	Common	ADaM2021	Brunello
1028	UHRF1BP1	-0.3118495496531123	Exclusive	ADaM2021	Brunello
1029	RPL10A	-2.4723494807087825	Common	ADaM2021	Brunello
1030	MAPK14	-0.5856769563759532	Common	ADaM2021	Brunello
1031	SRSF3	-3.958986195483604	Common	ADaM2021	Brunello
1032	PPIL1	-1.098029375085905	Common	ADaM2021	Brunello
1033	TBC1D22B	-0.3593497055000912	Common	ADaM2021	Brunello
1034	CMTR1	-2.313059865246461	Common	ADaM2021	Brunello
1035	KCNK17	-0.2853064914080374	Exclusive	ADaM2021	Brunello
1036	NFYA	-0.2465888827480157	Exclusive	ADaM2021	Brunello
1037	BYSL	-1.3239134952377198	Common	ADaM2021	Brunello
1038	CCND3	-0.4945378125016014	Common	ADaM2021	Brunello
1039	TAF8	-0.7605839871383124	Common	ADaM2021	Brunello
1040	MRPS10	-0.455760597844793	Common	ADaM2021	Brunello
1041	TBCC	-3.957909399104996	Common	ADaM2021	Brunello
1042	RPL7L1	-2.657416367939052	Common	ADaM2021	Brunello
1043	RRP36	-1.136704980833891	Common	ADaM2021	Brunello
1044	MRPL2	-0.5888765705609816	Common	ADaM2021	Brunello
1045	SRF	-0.932140860295269	Common	ADaM2021	Brunello
1046	SLC22A7	-0.2593724994801045	Exclusive	ADaM2021	Brunello
1047	POLR1C	-3.643213813329748	Common	ADaM2021	Brunello
1048	XPO5	-1.913840033508997	Common	ADaM2021	Brunello
1049	MRPS18A	-0.4335474924482757	Common	ADaM2021	Brunello
1050	MRPL14	-0.7569698581039285	Common	ADaM2021	Brunello
1051	NFKBIE	-0.2431543561657125	Exclusive	ADaM2021	Brunello
1052	AARS2	-0.4994639677722806	Common	ADaM2021	Brunello
1053	CDC5L	-4.279923012986933	Common	ADaM2021	Brunello
1054	MCM3	-3.7488207942921647	Common	ADaM2021	Brunello
1055	RAB23	-0.7112857757423076	Common	ADaM2021	Brunello
1056	PRIM2	-2.890929711782754	Common	ADaM2021	Brunello
1057	EEF1A1	-4.297721500061045	Common	ADaM2021	Brunello
1058	TMEM30A	-1.909627323877172	Common	ADaM2021	Brunello
1059	SENP6	-1.4134879538507967	Common	ADaM2021	Brunello
1060	TTK	-1.648775831338506	Common	ADaM2021	Brunello
1061	RIPPLY2	-0.3039880894153087	Exclusive	ADaM2021	Brunello
1062	CYB5R4	-1.297379273461239	Common	ADaM2021	Brunello
1063	SYNCRIP	-0.4839892994549583	Common	ADaM2021	Brunello
1064	RARS2	-0.4955789529588032	Common	ADaM2021	Brunello
1065	ORC3	-2.0511971545622063	Common	ADaM2021	Brunello
1066	AKIRIN2	-1.590301213087786	Common	ADaM2021	Brunello
1067	RNGTT	-2.55292510784694	Common	ADaM2021	Brunello
1068	LYRM2	-0.2391072755586108	Exclusive	ADaM2021	Brunello
1069	MDN1	-3.018907410182023	Common	ADaM2021	Brunello
1070	UFL1	-0.9120732077458876	Common	ADaM2021	Brunello
1071	MMS22L	-1.9260469872685655	Common	ADaM2021	Brunello
1072	PNISR	-0.9399503925377024	Common	ADaM2021	Brunello
1073	CCNC	-0.8579450854047184	Common	ADaM2021	Brunello
1074	MCHR2	-0.230086419367874	Exclusive	ADaM2021	Brunello
1075	ASCC3	-1.4444860380459186	Common	ADaM2021	Brunello
1076	QRSL1	-1.3547753959464863	Common	ADaM2021	Brunello
1077	BEND3	-0.230457026246458	Exclusive	ADaM2021	Brunello
1078	SEC63	-0.9562108339571312	Common	ADaM2021	Brunello
1079	CDC40	-1.4561136212714414	Common	ADaM2021	Brunello
1080	AMD1	-0.4397524769498494	Common	ADaM2021	Brunello
1081	GTF3C6	-1.001535544415095	Common	ADaM2021	Brunello
1082	RPF2	-2.935427557359655	Common	ADaM2021	Brunello
1083	REV3L	-0.4192354208203981	Common	ADaM2021	Brunello
1084	TUBE1	-0.6890765494455872	Common	ADaM2021	Brunello
1085	RSPH4A	-0.3210640728459088	Common	ADaM2021	Brunello
1086	NUS1	-3.7335599994227824	Common	ADaM2021	Brunello
1087	ASF1A	-0.4237459090691922	Common	ADaM2021	Brunello
1088	HSF2	-0.459620926910486	Common	ADaM2021	Brunello
1089	CENPW	-2.5162169154133203	Common	ADaM2021	Brunello
1090	THEMIS	-0.2607890652543015	Exclusive	ADaM2021	Brunello
1091	MED23	-1.4542211679912125	Common	ADaM2021	Brunello
1092	CTAGE9	-0.9751600779683488	Common	ADaM2021	Brunello
1093	SLC18B1	-0.2930312474056935	Exclusive	ADaM2021	Brunello
1094	RPS12	-2.359528728059694	Common	ADaM2021	Brunello
1095	TBPL1	-0.2356332495692888	Exclusive	ADaM2021	Brunello
1096	BCLAF1	-0.65277992322737	Common	ADaM2021	Brunello
1097	MAP3K5	-0.4480804205722504	Common	ADaM2021	Brunello
1098	NHSL1	-0.4522158061319679	Common	ADaM2021	Brunello
1099	LOC100507462	-5.659671257530938	Common	ADaM2021	Brunello
1100	ADAT2	-1.0343254092728722	Common	ADaM2021	Brunello
1101	LTV1	-2.027769909295954	Common	ADaM2021	Brunello
1102	SF3B5	-4.3019699460629415	Common	ADaM2021	Brunello
1103	FBXO30	-0.3464027695266596	Common	ADaM2021	Brunello
1104	SHPRH	-0.3452165486563468	Common	ADaM2021	Brunello
1105	SUMO4	-0.4557129450599831	Common	ADaM2021	Brunello
1106	PPIL4	-2.1882528928807456	Common	ADaM2021	Brunello
1107	KATNA1	-0.6402890905287251	Common	ADaM2021	Brunello
1108	NUP43	-1.066541547538831	Common	ADaM2021	Brunello
1109	ZBTB2	-0.5429656680715007	Common	ADaM2021	Brunello
1110	SCAF8	-0.6455864670668303	Common	ADaM2021	Brunello
1111	SOD2	-1.7735940058164956	Common	ADaM2021	Brunello
1112	WTAP	-0.7663860347628799	Common	ADaM2021	Brunello
1113	TCP1	-3.999032372830388	Common	ADaM2021	Brunello
1114	MRPL18	-1.013263036897731	Common	ADaM2021	Brunello
1115	PSMB1	-0.2633420960749377	Exclusive	ADaM2021	Brunello
1116	GET4	-1.7484516313503562	Common	ADaM2021	Brunello
1117	ADAP1	-0.2710124486537301	Exclusive	ADaM2021	Brunello
1118	INTS1	-4.405927459204154	Common	ADaM2021	Brunello
1119	TMEM184A	-0.3745033044615877	Common	ADaM2021	Brunello
1120	PSMG3	-4.089177560221557	Common	ADaM2021	Brunello
1121	EIF3B	-2.7012238061346	Common	ADaM2021	Brunello
1122	GRIFIN	-0.2923542176063229	Exclusive	ADaM2021	Brunello
1123	BRAT1	-0.7811250768864424	Common	ADaM2021	Brunello
1124	AMZ1	-0.3565569855176183	Common	ADaM2021	Brunello
1125	RBAK-RBAKDN	-0.3058530296986939	Exclusive	ADaM2021	Brunello
1126	TNRC18	-0.9741788231583528	Common	ADaM2021	Brunello
1127	ACTB	-1.064520015157086	Common	ADaM2021	Brunello
1128	CCZ1	-0.265357369433267	Exclusive	ADaM2021	Brunello
1129	RSPH10B	-0.8512680056699282	Common	ADaM2021	Brunello
1130	AIMP2	-0.372642354864766	Common	ADaM2021	Brunello
1131	EIF2AK1	-0.2593533747311581	Exclusive	ADaM2021	Brunello
1132	RAC1	-2.635675363885132	Common	ADaM2021	Brunello
1133	C7orf26	-3.378686950116327	Common	ADaM2021	Brunello
1134	RSPH10B2	-0.5252565026693161	Common	ADaM2021	Brunello
1135	CCZ1B	-0.4661534323293456	Common	ADaM2021	Brunello
1136	MIOS	-0.483186358178458	Common	ADaM2021	Brunello
1137	RPA3	-5.164846840620273	Common	ADaM2021	Brunello
1138	THSD7A	-0.2668074899013071	Exclusive	ADaM2021	Brunello
1139	ARL4A	-0.3701805348648717	Common	ADaM2021	Brunello
1140	AGMO	-0.3409144296399322	Common	ADaM2021	Brunello
1141	TSPAN13	-0.4915501223849207	Common	ADaM2021	Brunello
1142	AGR2	-0.8794040988227406	Common	ADaM2021	Brunello
1143	TWISTNB	-2.3287054230552	Common	ADaM2021	Brunello
1144	RAPGEF5	-0.6962314837437851	Common	ADaM2021	Brunello
1145	KLHL7	-0.4136091032878574	Common	ADaM2021	Brunello
1146	NUPL2	-0.7373104157545467	Common	ADaM2021	Brunello
1147	TRA2A	-0.3650172335645115	Common	ADaM2021	Brunello
1148	MPP6	-0.2562966089021943	Exclusive	ADaM2021	Brunello
1149	CYCS	-1.1806223660203838	Common	ADaM2021	Brunello
1150	HNRNPA2B1	-0.7450749479981347	Common	ADaM2021	Brunello
1151	HOXA13	-0.6922746966144121	Common	ADaM2021	Brunello
1152	EVX1	-0.442545259429444	Common	ADaM2021	Brunello
1153	GARS	-3.6366211996287774	Common	ADaM2021	Brunello
1154	LSM5	-2.321626084412494	Common	ADaM2021	Brunello
1155	KBTBD2	-0.5132153893667237	Common	ADaM2021	Brunello
1156	DPY19L1	-0.3288543813598644	Common	ADaM2021	Brunello
1157	SEPT7	-2.3154386054325498	Common	ADaM2021	Brunello
1158	ANLN	-0.8780641401101209	Common	ADaM2021	Brunello
1159	NME8	-0.3436571860168024	Common	ADaM2021	Brunello
1160	VPS41	-0.8600581974005986	Common	ADaM2021	Brunello
1161	YAE1D1	-2.682936546884298	Common	ADaM2021	Brunello
1162	PSMA2	-1.981502883161656	Common	ADaM2021	Brunello
1163	URGCP-MRPS24	-0.4106570033055459	Common	ADaM2021	Brunello
1164	SPDYE1	-1.006149036560665	Common	ADaM2021	Brunello
1165	POLD2	-4.600401129035009	Common	ADaM2021	Brunello
1166	YKT6	-1.5052525743594722	Common	ADaM2021	Brunello
1167	NUDCD3	-1.501915642217429	Common	ADaM2021	Brunello
1168	DDX56	-2.371670022886649	Common	ADaM2021	Brunello
1169	HUS1	-0.5020347290966648	Common	ADaM2021	Brunello
1170	SEC61G	-2.265021713594025	Common	ADaM2021	Brunello
1171	EGFR	-0.6504656778664448	Common	ADaM2021	Brunello
1172	CCT6A	-3.6551471545872554	Common	ADaM2021	Brunello
1173	ZNF479	-0.6810208636510346	Common	ADaM2021	Brunello
1174	ZNF138	-0.7216248121291887	Common	ADaM2021	Brunello
1175	CRCP	-2.0080526629161266	Common	ADaM2021	Brunello
1176	RABGEF1	-0.6970113599810545	Common	ADaM2021	Brunello
1177	SBDS	-2.789952291611174	Common	ADaM2021	Brunello
1178	POM121	-0.3995422653434873	Common	ADaM2021	Brunello
1179	BAZ1B	-1.0698877649352208	Common	ADaM2021	Brunello
1180	WBSCR22	-2.3835597997475317	Common	ADaM2021	Brunello
1181	RFC2	-2.978915117578048	Common	ADaM2021	Brunello
1182	NCF1	-0.4503677867678964	Common	ADaM2021	Brunello
1183	WBSCR16	-1.3660101382543424	Common	ADaM2021	Brunello
1184	POM121C	-0.4199563547215635	Common	ADaM2021	Brunello
1185	SPDYE5	-1.220761673332612	Common	ADaM2021	Brunello
1186	YWHAG	-0.3242197179990654	Common	ADaM2021	Brunello
1187	POMZP3	-0.4099785057799315	Common	ADaM2021	Brunello
1188	RSBN1L	-0.68641189730091	Common	ADaM2021	Brunello
1189	TMEM60	-0.2365650306749009	Exclusive	ADaM2021	Brunello
1190	CD36	-0.2605607357195707	Exclusive	ADaM2021	Brunello
1191	DBF4	-0.3362479622281632	Common	ADaM2021	Brunello
1192	PEX1	-0.355059429442204	Common	ADaM2021	Brunello
1193	FAM133B	-0.3874656131421141	Common	ADaM2021	Brunello
1194	CDK6	-0.8755340910421212	Common	ADaM2021	Brunello
1195	BET1	-0.5051885942563175	Common	ADaM2021	Brunello
1196	SHFM1	-1.7978692590905452	Common	ADaM2021	Brunello
1197	DLX5	-0.2946432341256581	Exclusive	ADaM2021	Brunello
1198	ASNS	-1.8067955787504384	Common	ADaM2021	Brunello
1199	TRRAP	-2.7277687094820164	Common	ADaM2021	Brunello
1200	PDAP1	-0.37230625080158	Common	ADaM2021	Brunello
1201	BUD31	-2.836171901741032	Common	ADaM2021	Brunello
1202	CPSF4	-1.0762433940452982	Common	ADaM2021	Brunello
1203	ATP5J2	-1.5042411862205134	Common	ADaM2021	Brunello
1204	COPS6	-3.839162358101304	Common	ADaM2021	Brunello
1205	MCM7	-3.895704384419176	Common	ADaM2021	Brunello
1206	TAF6	-3.234388771119755	Common	ADaM2021	Brunello
1207	SPDYE3	-1.1645079492084387	Common	ADaM2021	Brunello
1208	MEPCE	-1.4025179264846954	Common	ADaM2021	Brunello
1209	PPP1R35	-0.4883533711797112	Common	ADaM2021	Brunello
1210	POP7	-2.4232392137569074	Common	ADaM2021	Brunello
1211	SRRT	-1.1276161482644127	Common	ADaM2021	Brunello
1212	ZNHIT1	-0.7297571092021234	Common	ADaM2021	Brunello
1213	SPDYE6	-2.917860050821319	Common	ADaM2021	Brunello
1214	PRKRIP1	-0.3887468026688567	Common	ADaM2021	Brunello
1215	POLR2J	-0.9633051181084282	Common	ADaM2021	Brunello
1216	SPDYE2	-0.946237481697156	Common	ADaM2021	Brunello
1217	POLR2J3	-0.6324767747692052	Common	ADaM2021	Brunello
1218	SPDYE2B	-1.8038410663719984	Common	ADaM2021	Brunello
1219	ARMC10	-0.5461015136334808	Common	ADaM2021	Brunello
1220	PMPCB	-0.3066184657045734	Exclusive	ADaM2021	Brunello
1221	PSMC2	-0.9161244165659612	Common	ADaM2021	Brunello
1222	ORC5	-1.206542746638765	Common	ADaM2021	Brunello
1223	KMT2E	-0.7265266297678584	Common	ADaM2021	Brunello
1224	PUS7	-0.3400570362408039	Common	ADaM2021	Brunello
1225	RINT1	-1.0725768734045138	Common	ADaM2021	Brunello
1226	NAMPT	-0.2676188478926488	Exclusive	ADaM2021	Brunello
1227	DLD	-0.2441390688217338	Exclusive	ADaM2021	Brunello
1228	PNPLA8	-0.5661216996520055	Common	ADaM2021	Brunello
1229	THAP5	-0.3136487430131258	Exclusive	ADaM2021	Brunello
1230	TMEM168	-0.7064606446083719	Common	ADaM2021	Brunello
1231	ST7	-0.491345281960724	Common	ADaM2021	Brunello
1232	LSM8	-3.2225716078297744	Common	ADaM2021	Brunello
1233	ING3	-1.179786905694915	Common	ADaM2021	Brunello
1234	NDUFA5	-0.3332958130071149	Common	ADaM2021	Brunello
1235	WASL	-0.3784288039936877	Common	ADaM2021	Brunello
1236	TMEM229A	-0.2706294287869999	Exclusive	ADaM2021	Brunello
1237	POT1	-0.7815361996840033	Common	ADaM2021	Brunello
1238	RBM28	-0.4908103409115208	Common	ADaM2021	Brunello
1239	METTL2B	-1.0468931258272818	Common	ADaM2021	Brunello
1240	ATP6V1F	-2.121068142618096	Common	ADaM2021	Brunello
1241	TNPO3	-3.025566188654925	Common	ADaM2021	Brunello
1242	SMO	-0.3850125623645555	Common	ADaM2021	Brunello
1243	AHCYL2	-0.241755178436916	Exclusive	ADaM2021	Brunello
1244	NRF1	-1.555601229212379	Common	ADaM2021	Brunello
1245	UBE2H	-0.52385230537396	Common	ADaM2021	Brunello
1246	ZC3HC1	-0.4258401987400719	Common	ADaM2021	Brunello
1247	TMEM209	-0.3230008948803373	Common	ADaM2021	Brunello
1248	CHCHD3	-0.2427330924916625	Exclusive	ADaM2021	Brunello
1249	EXOC4	-1.0870576959674918	Common	ADaM2021	Brunello
1250	NUP205	-1.73347926301874	Common	ADaM2021	Brunello
1251	C7orf55-LUC7L2	-0.3252973089440996	Common	ADaM2021	Brunello
1252	LUC7L2	-0.4133843759095775	Common	ADaM2021	Brunello
1253	BRAF	-1.611776069638444	Common	ADaM2021	Brunello
1254	MRPS33	-0.6508366865950372	Common	ADaM2021	Brunello
1255	AGK	-0.5056517410109886	Common	ADaM2021	Brunello
1256	WEE2	-0.2425471385185656	Exclusive	ADaM2021	Brunello
1257	SSBP1	-0.4351434458230205	Common	ADaM2021	Brunello
1258	TAS2R5	-0.3460733399683337	Common	ADaM2021	Brunello
1259	PRSS1	-0.6997309186162874	Common	ADaM2021	Brunello
1260	CTAGE15	-1.1405180491882163	Common	ADaM2021	Brunello
1261	TCAF2	-0.3557912482471713	Common	ADaM2021	Brunello
1262	CTAGE6	-0.5293646608294529	Common	ADaM2021	Brunello
1263	TCAF1	-0.5871669900761395	Common	ADaM2021	Brunello
1264	ARHGEF35	-0.7737846656750265	Common	ADaM2021	Brunello
1265	ARHGEF5	-0.4080965091931222	Common	ADaM2021	Brunello
1266	CNTNAP2	-0.2410650779437173	Exclusive	ADaM2021	Brunello
1267	CUL1	-0.2410907735737242	Exclusive	ADaM2021	Brunello
1268	ZNF425	-0.3704745724345006	Common	ADaM2021	Brunello
1269	ABCF2	-0.5344122902354428	Common	ADaM2021	Brunello
1270	NUB1	-0.275773547131061	Exclusive	ADaM2021	Brunello
1271	CRYGN	-0.2823042236788204	Exclusive	ADaM2021	Brunello
1272	RHEB	-1.7685297322125768	Common	ADaM2021	Brunello
1273	ACTR3B	-0.3670014593277305	Common	ADaM2021	Brunello
1274	INSIG1	-0.4299495786622232	Common	ADaM2021	Brunello
1275	NOM1	-2.2769151296665453	Common	ADaM2021	Brunello
1276	DNAJB6	-0.5332239456700317	Common	ADaM2021	Brunello
1277	ESYT2	-0.4725938611492297	Common	ADaM2021	Brunello
1278	OR4F21	-1.3741124724870442	Common	ADaM2021	Brunello
1279	USP17L4	-0.7434984484898509	Common	ADaM2021	Brunello
1280	DEFB105A	-0.2412127292963695	Exclusive	ADaM2021	Brunello
1281	USP17L3	-0.4773404566638561	Common	ADaM2021	Brunello
1282	PINX1	-0.4168187314063166	Common	ADaM2021	Brunello
1283	FDFT1	-0.2341503158725134	Exclusive	ADaM2021	Brunello
1284	FAM86B1	-0.4321323225992738	Common	ADaM2021	Brunello
1285	DEFB130	-0.2424327058344016	Exclusive	ADaM2021	Brunello
1286	FAM86B2	-0.3106931973791604	Exclusive	ADaM2021	Brunello
1287	MICU3	-0.3973846133263633	Common	ADaM2021	Brunello
1288	CNOT7	-0.3432286206840846	Common	ADaM2021	Brunello
1289	FGL1	-0.2498106589857028	Exclusive	ADaM2021	Brunello
1290	PCM1	-0.5199022277329486	Common	ADaM2021	Brunello
1291	INTS10	-2.335518106625861	Common	ADaM2021	Brunello
1292	ATP6V1B2	-1.897517079779472	Common	ADaM2021	Brunello
1293	XPO7	-0.4635800037005777	Common	ADaM2021	Brunello
1294	REEP4	-0.3104423716532152	Exclusive	ADaM2021	Brunello
1295	POLR3D	-2.4216727084409126	Common	ADaM2021	Brunello
1296	CHMP7	-1.814187500437876	Common	ADaM2021	Brunello
1297	ADAM28	-0.4417923159302777	Common	ADaM2021	Brunello
1298	PPP2R2A	-0.5624073996103073	Common	ADaM2021	Brunello
1299	CLU	-0.351899064397834	Common	ADaM2021	Brunello
1300	CCDC25	-0.9572298861987152	Common	ADaM2021	Brunello
1301	ESCO2	-0.7729695655892351	Common	ADaM2021	Brunello
1302	ELP3	-2.806190401167642	Common	ADaM2021	Brunello
1303	EXTL3	-0.2325050205821768	Exclusive	ADaM2021	Brunello
1304	INTS9	-2.95504168925677	Common	ADaM2021	Brunello
1305	DCTN6	-4.4826411703201705	Common	ADaM2021	Brunello
1306	GTF2E2	-1.6748004828674372	Common	ADaM2021	Brunello
1307	MAK16	-5.721417894565182	Common	ADaM2021	Brunello
1308	TTI2	-2.3453350072998496	Common	ADaM2021	Brunello
1309	ZNF703	-0.2658131651421093	Exclusive	ADaM2021	Brunello
1310	BRF2	-1.798190894144334	Common	ADaM2021	Brunello
1311	ASH2L	-2.0327827087936754	Common	ADaM2021	Brunello
1312	TM2D2	-0.8585336908802746	Common	ADaM2021	Brunello
1313	GINS4	-3.2561178215726025	Common	ADaM2021	Brunello
1314	ANK1	-0.4056343673403114	Common	ADaM2021	Brunello
1315	THAP1	-3.799691223131846	Common	ADaM2021	Brunello
1316	FNTA	-3.541653517756054	Common	ADaM2021	Brunello
1317	MCM4	-2.221008646253945	Common	ADaM2021	Brunello
1318	RB1CC1	-1.2127090425250404	Common	ADaM2021	Brunello
1319	ATP6V1H	-1.9210005788754316	Common	ADaM2021	Brunello
1320	MRPL15	-0.5430354684607316	Common	ADaM2021	Brunello
1321	XKR4	-0.3100395436292389	Exclusive	ADaM2021	Brunello
1322	TGS1	-0.8909702146311698	Common	ADaM2021	Brunello
1323	RPS20	-5.128011985318711	Common	ADaM2021	Brunello
1324	RAB2A	-0.8950944309169323	Common	ADaM2021	Brunello
1325	RRS1	-1.577468352245014	Common	ADaM2021	Brunello
1326	C8orf44	-1.7194632142943496	Common	ADaM2021	Brunello
1327	COPS5	-2.8042400881974903	Common	ADaM2021	Brunello
1328	CPA6	-0.2373041006185283	Exclusive	ADaM2021	Brunello
1329	TERF1	-0.5139686145312966	Common	ADaM2021	Brunello
1330	RPL7	-4.298422924863336	Common	ADaM2021	Brunello
1331	TCEB1	-1.6013255959280837	Common	ADaM2021	Brunello
1332	FABP5	-0.4417944735919765	Common	ADaM2021	Brunello
1333	TMEM55A	-0.2314999422061567	Exclusive	ADaM2021	Brunello
1334	KIAA1429	-2.335858376439271	Common	ADaM2021	Brunello
1335	INTS8	-1.4435237343373764	Common	ADaM2021	Brunello
1336	PTDSS1	-3.430504824257832	Common	ADaM2021	Brunello
1337	RPL30	-3.8202888475126993	Common	ADaM2021	Brunello
1338	POP1	-1.8932775656286749	Common	ADaM2021	Brunello
1339	POLR2K	-2.381905071414692	Common	ADaM2021	Brunello
1340	RNF19A	-0.2440004380201338	Exclusive	ADaM2021	Brunello
1341	PABPC1	-1.169809809845034	Common	ADaM2021	Brunello
1342	YWHAZ	-0.5433335275215547	Common	ADaM2021	Brunello
1343	GRHL2	-0.3607310018352041	Common	ADaM2021	Brunello
1344	ATP6V1C1	-2.6772776963295173	Common	ADaM2021	Brunello
1345	DCAF13	-1.8769336539949557	Common	ADaM2021	Brunello
1346	EIF3E	-1.7472746854009369	Common	ADaM2021	Brunello
1347	ENY2	-0.3674017292364361	Common	ADaM2021	Brunello
1348	EIF3H	-0.3992946098917008	Common	ADaM2021	Brunello
1349	UTP23	-1.1350429714066474	Common	ADaM2021	Brunello
1350	RAD21	-0.7126490833432804	Common	ADaM2021	Brunello
1351	MED30	-1.899998600322624	Common	ADaM2021	Brunello
1352	EXT1	-0.7866437443045065	Common	ADaM2021	Brunello
1353	TAF2	-0.6350124681199851	Common	ADaM2021	Brunello
1354	COL14A1	-0.3665561238426164	Common	ADaM2021	Brunello
1355	MTBP	-3.977419913125155	Common	ADaM2021	Brunello
1356	FAM83A	-0.8088705984412978	Common	ADaM2021	Brunello
1357	C8orf76	-0.2419024197521372	Exclusive	ADaM2021	Brunello
1358	ATAD2	-0.4707033470748309	Common	ADaM2021	Brunello
1359	KIAA0196	-0.4504144266666979	Common	ADaM2021	Brunello
1360	TRIB1	-0.8960603931662259	Common	ADaM2021	Brunello
1361	MYC	-5.397800137885676	Common	ADaM2021	Brunello
1362	FAM49B	-0.5723360755766216	Common	ADaM2021	Brunello
1363	ASAP1	-0.2958547447124321	Exclusive	ADaM2021	Brunello
1364	TMEM71	-0.7847221236175164	Common	ADaM2021	Brunello
1365	ZFAT	-0.6542664721398671	Common	ADaM2021	Brunello
1366	COL22A1	-0.4683413087291302	Common	ADaM2021	Brunello
1367	TRAPPC9	-0.5744373745140785	Common	ADaM2021	Brunello
1368	PTK2	-2.635577941055411	Common	ADaM2021	Brunello
1369	DENND3	-0.8209695713426568	Common	ADaM2021	Brunello
1370	GPR20	-0.2908515513634395	Exclusive	ADaM2021	Brunello
1371	ZC3H3	-0.3202986224680222	Common	ADaM2021	Brunello
1372	TIGD5	-0.3100736630347009	Exclusive	ADaM2021	Brunello
1373	CCDC166	-0.3623156854667419	Common	ADaM2021	Brunello
1374	PUF60	-2.2927555223629303	Common	ADaM2021	Brunello
